Name,Year,Miles,Price,model_avg_price,model_listing_count,Age,AgeBand,MileageBand,price_zscore
Chevrolet Spark,2017,70606,13990,15980.290909090909,55,6,4-6,60-80k,-0.9826250971971029
Nissan Altima,2020,66246,24990,19293.97340425532,188,3,2-4,60-80k,0.4044365827273108
Kia Optima,2020,30302,21590,17867.048076923078,104,3,2-4,20-40k,-0.02429157288568976
Hyundai Kona,2018,69900,22990,22149.1,30,5,4-6,60-80k,0.15224355001378106
Kia Soul,2018,21755,22590,17106.064516129034,124,5,4-6,20-40k,0.10180494347107512
Ford Fusion,2015,44521,19990,18113.032,125,8,6-8,40-60k,-0.22604599905651357
Jeep Compass,2018,56631,20990,20590.543103448275,116,5,4-6,40-60k,-0.09994948269974868
Ford Edge,2019,41061,23990,20629.243243243243,74,4,2-4,40-60k,0.278340066370546
Chevrolet Sonic,2017,42108,15590,14630.90909090909,44,6,4-6,40-60k,-0.780870671026279
Buick Encore,2018,71737,17590,18820.149425287356,87,5,4-6,60-80k,-0.5286776383127493
Toyota Corolla,2020,57489,20590,18560.486988847584,269,3,2-4,40-60k,-0.15038808924245464
Buick Enclave,2017,87121,20990,25804.4,25,6,4-6,80-100k,-0.09994948269974868
Jeep Compass,2018,52909,20990,20590.543103448275,116,5,4-6,40-60k,-0.09994948269974868
Honda Accord,2012,63303,17990,20338.34351145038,131,11,10-15,60-80k,-0.47823903177004334
Hyundai Sonata,2013,74193,14590,16759.738562091505,153,10,8-10,60-80k,-0.9069671873830439
Kia Forte,2022,10336,23590,17017.92156862745,102,1,0-2,0-20k,0.22790145982784
Nissan Rogue,2018,45569,21990,20382.880165289258,242,5,4-6,40-60k,0.026147033657016195
Scion tC,2013,55791,17990,17480.909090909092,11,10,8-10,40-60k,-0.47823903177004334
Honda Civic,2010,47121,14990,18925.32380952381,210,13,10-15,40-60k,-0.856528580840338
Hyundai Elantra,2018,83283,15990,17041.33846153846,195,5,4-6,80-100k,-0.7304320644835731
Ford Fusion,2020,28570,23990,18113.032,125,3,2-4,20-40k,0.278340066370546
Buick Encore,2020,48653,20590,18820.149425287356,87,3,2-4,40-60k,-0.15038808924245464
Dodge Journey,2016,67534,18990,19075.328125,64,7,6-8,60-80k,-0.35214251541327846
Audi A Sportback e-tron,2016,62319,24590,24590.0,1,7,6-8,60-80k,0.3539979761846049
Honda CR-V,2013,101583,15990,21022.757009345794,107,10,8-10,100-130k,-0.7304320644835731
Nissan Rogue,2017,91604,16990,20382.880165289258,242,6,4-6,80-100k,-0.6043355481268082
Mitsubishi Outlander,2018,83090,17990,20020.0,20,5,4-6,80-100k,-0.47823903177004334
Alfa Romeo Giulia,2017,52817,23990,28523.333333333332,6,6,4-6,40-60k,0.278340066370546
Chevrolet Cruze,2017,91347,15590,15992.5,80,6,4-6,80-100k,-0.780870671026279
Nissan Kicks,2020,48985,22990,19809.626373626375,91,3,2-4,40-60k,0.15224355001378106
Ford Fiesta,2017,83381,12990,14645.737704918032,61,6,4-6,80-100k,-1.1087216135538678
MAZDA CX-,2021,47026,23590,23001.7,140,2,0-2,40-60k,0.22790145982784
BMW  Series,2011,64514,22990,25277.301587301587,126,12,10-15,60-80k,0.15224355001378106
Kia Sportage,2018,13541,22990,20804.091954022988,87,5,4-6,0-20k,0.15224355001378106
